,topic_0,topic_1,topic_2
2022-01-17,"['russia', 'russian', 'nato', 'war', 'ukrain']","['russian', 'nato', 'invad', 'russia', 'ukrain']","['border', 'nato', 'russia', 'war', 'ukrain']"
2022-01-18,"['invad', 'nato', 'war', 'russia', 'ukrain']","['belaru', 'border', 'ukrain', 'russian', 'troop']","['move', 'troop', 'nato', 'russia', 'ukrain']"
2022-01-24,"['troop', 'border', 'russia', 'war', 'ukrain']","['war', 'invad', 'nato', 'russia', 'ukrain']","['8500', 'alert', 'nato', 'ukrain', 'troop']"
2022-01-25,"['nato', 'russian', 'troop', 'border', 'ukrain']","['nato', 'invad', 'war', 'russia', 'ukrain']","['europ', 'nato', 'russia', 'troop', 'ukrain']"
2022-02-21,"['order', 'putin', 'russian', 'ukrain', 'troop']","['putin', 'nato', 'war', 'russia', 'ukrain']","['russia', 'troop', 'border', 'russian', 'ukrain']"
2022-02-22,"['the', 'world', 'standwithukrain', 'war', 'ukrain']","['russia', 'putin', 'russian', 'ukrain', 'troop']","['invad', 'putin', 'nato', 'russia', 'ukrain']"
2022-02-24,"['stand', 'war', 'peopl', 'ukrain', 'standwithukrain']","['russia', 'border', 'troop', 'russian', 'ukrain']","['putin', 'war', 'nato', 'russia', 'ukrain']"
2022-02-25,"['kyiv', 'ukrainian', 'troop', 'ukrain', 'russian']","['amp', 'peopl', 'standwithukrain', 'war', 'ukrain']","['war', 'putin', 'russia', 'nato', 'ukrain']"
2022-02-28,"['the', 'war', 'russia', 'putin', 'ukrain']","['ukrainerussiawar', 'kyiv', 'russian', 'russia', 'ukrain']","['ukrainerussiawar', 'peopl', 'help', 'amp', 'ukrain']"
2022-03-01,"['war', 'russia', 'ukrainerussiawar', 'putin', 'ukrain']","['war', 'putin', 'amp', 'russia', 'ukrain']","['ukrainian', 'kyiv', 'russia', 'russian', 'ukrain']"
2022-03-03,"['kyiv', 'ukrainian', 'russia', 'russian', 'ukrain']","['support', 'amp', 'help', 'russia', 'ukrain']","['peopl', 'war', 'russia', 'putin', 'ukrain']"
2022-03-04,"['nato', 'war', 'ukrain', 'russia', 'putin']","['kyiv', 'ukrainian', 'russian', 'russia', 'ukrain']","['peopl', 'help', 'support', 'standwithukrain', 'ukrain']"
2022-03-05,"['help', 'support', 'peopl', 'standwithukrain', 'ukrain']","['ukrainian', 'kyiv', 'russia', 'russian', 'ukrain']","['nato', 'war', 'ukrain', 'russia', 'putin']"
2022-03-08,"['war', 'russian', 'putin', 'russia', 'ukrain']","['poland', 'standwithukrain', 'support', 'russia', 'ukrain']","['world', 'day', 'amp', 'internationalwomensday', 'women']"
2022-03-09,"['ukrainewar', 'war', 'russian', 'ukrain', 'russia']","['standwithukrain', 'war', 'peopl', 'putin', 'ukrain']","['ukrainian', 'the', 'russian', 'russia', 'ukrain']"
2022-03-10,"['standwithukrain', 'ukrainian', 'russia', 'russian', 'ukrain']","['standwithukrain', 'war', 'peopl', 'ukrain', 'putin']","['amp', 'the', 'russian', 'russia', 'ukrain']"
2022-03-13,"['amp', 'china', 'nato', 'ukrain', 'russia']","['russia', 'war', 'standwithukrain', 'putin', 'ukrain']","['ukrainerussiawar', 'ukrainewar', 'russia', 'russian', 'ukrain']"
2022-03-14,"['amp', 'the', 'war', 'russia', 'ukrain']","['ukrainerussiawar', 'ukrainewar', 'russia', 'russian', 'ukrain']","['peopl', 'war', 'standwithukrain', 'ukrain', 'putin']"
2022-03-15,"['the', 'ukrainian', 'russian', 'russia', 'ukrain']","['amp', 'russia', 'war', 'ukrain', 'putin']","['video', 'standwithukrain', 'china', 'russia', 'ukrain']"
2022-03-16,"['ukraineunderattack', 'mariupol', 'russia', 'russian', 'ukrain']","['amp', 'standwithukrain', 'russia', 'war', 'putin']","['amp', 'the', 'peopl', 'russia', 'ukrain']"
2022-03-17,"['stpatricksday', 'ukrainian', 'russia', 'russian', 'ukrain']","['bbcqt', 'standwithukrain', 'peopl', 'putin', 'ukrain']","['amp', 'putin', 'war', 'russia', 'ukrain']"
2022-03-20,"['amp', 'war', 'russia', 'putin', 'ukrain']","['ukrainian', 'mariupol', 'russia', 'russian', 'ukrain']","['stoprussia', 'peopl', 'slavaukraini', 'ukrain', 'standwithukrain']"
2022-03-21,"['amp', 'war', 'putin', 'russia', 'ukrain']","['stoprussia', 'thi', 'putin', 'ukrain', 'standwithukrain']","['mariupol', 'ukrainian', 'russia', 'russian', 'ukrain']"
2022-03-25,"['ukrainian', 'ukrainewar', 'russia', 'russian', 'ukrain']","['war', 'peopl', 'standwithukrain', 'putin', 'ukrain']","['war', 'putin', 'nato', 'ukrain', 'russia']"
2022-03-26,"['see', 'amp', 'slavaukraini', 'standwithukrain', 'ukrain']","['war', 'biden', 'russia', 'ukrain', 'putin']","['ukrainewar', 'ukrainian', 'russia', 'russian', 'ukrain']"
