,topic_0,topic_1,topic_2
2022-01-17,"['russia', 'russian', 'troop', 'ukrain', 'border']","['nato', 'war', 'invad', 'russia', 'ukrain']","['new', 'amp', 'war', 'nato', 'ukrain']"
2022-01-18,"['invad', 'war', 'nato', 'russia', 'ukrain']","['invit', 'tension', 'talk', 'nato', 'ukrain']","['belaru', 'russian', 'russia', 'troop', 'ukrain']"
2022-01-24,"['russian', 'troop', 'russia', 'nato', 'ukrain']","['european', 'war', 'border', 'russia', 'ukrain']","['put', '8500', 'alert', 'ukrain', 'troop']"
2022-01-25,"['border', 'russian', 'troop', 'nato', 'ukrain']","['russian', 'deploy', 'russia', 'troop', 'ukrain']","['putin', 'biden', 'war', 'russia', 'ukrain']"
2022-02-21,"['say', 'russia', 'russian', 'ukrain', 'border']","['order', 'russian', 'putin', 'troop', 'ukrain']","['secur', 'biden', 'invad', 'russia', 'ukrain']"
2022-02-22,"['russia', 'putin', 'russian', 'ukrain', 'troop']","['russian', 'the', 'sanction', 'russia', 'ukrain']","['say', 'russia', 'war', 'border', 'ukrain']"
2022-02-24,"['chernobyl', 'ukrainian', 'ukrain', 'troop', 'russian']","['war', 'putin', 'troop', 'russia', 'ukrain']","['troop', 'ukrainian', 'ukrain', 'border', 'russian']"
2022-02-25,"['first', 'cross', 'the', 'border', 'ukrain']","['kyiv', 'ukrainian', 'troop', 'ukrain', 'russian']","['nato', 'russian', 'russia', 'troop', 'ukrain']"
2022-02-28,"['invas', 'the', 'russian', 'russia', 'ukrain']","['war', 'presid', 'putin', 'russia', 'ukrain']","['student', 'sanction', 'countri', 'russia', 'ukrain']"
2022-03-01,"['russiaukrainewar', 'putin', 'russian', 'russia', 'ukrain']","['the', 'invas', 'russian', 'ukrain', 'russia']","['india', 'russiaukrainewar', 'student', 'indian', 'ukrain']"
2022-03-03,"['the', 'putin', 'russian', 'russia', 'ukrain']","['russiaukrainewar', 'evacu', 'student', 'indian', 'ukrain']","['russiaukrain', 'war', 'russian', 'russia', 'ukrain']"
2022-03-04,"['indian', 'student', 'war', 'russia', 'ukrain']","['plant', 'nuclear', 'russian', 'russia', 'ukrain']","['the', 'standwithukrain', 'putin', 'russia', 'ukrain']"
2022-03-05,"['ceasefir', 'evacu', 'indian', 'russia', 'ukrain']","['ukrainian', 'putin', 'russian', 'russia', 'ukrain']","['war', 'putin', 'the', 'ukrain', 'russia']"
2022-03-08,"['iwd2022', 'amp', 'internationalwomensday', 'ukrain', 'women']","['ukrainian', 'war', 'russian', 'russia', 'ukrain']","['import', 'russian', 'oil', 'ukrain', 'russia']"
2022-03-09,"['russian', 'war', 'russiaukrainewar', 'russia', 'ukrain']","['invas', 'the', 'russian', 'ukrain', 'russia']","['support', 'standwithukrain', 'war', 'putin', 'ukrain']"
2022-03-10,"['amp', 'peopl', 'standwithukrain', 'war', 'ukrain']","['ukrainian', 'mariupol', 'russia', 'russian', 'ukrain']","['russiaukrainewar', 'the', 'russian', 'russia', 'ukrain']"
2022-03-13,"['the', 'putin', 'war', 'russia', 'ukrain']","['report', 'russia', 'presid', 'putin', 'ukrain']","['ukrainian', 'russia', 'russiaukrainewar', 'russian', 'ukrain']"
2022-03-14,"['kyiv', 'russian', 'russia', 'russiaukrainewar', 'ukrain']","['amp', 'war', 'putin', 'russia', 'ukrain']","['ukrainian', 'the', 'china', 'russia', 'ukrain']"
2022-03-15,"['today', 'minist', 'russia', 'china', 'ukrain']","['russiaukrainewar', 'the', 'russian', 'russia', 'ukrain']","['standwithukrain', 'amp', 'russia', 'war', 'ukrain']"
2022-03-16,"['russiaukrainewar', 'the', 'war', 'russia', 'ukrain']","['report', 'kyiv', 'russia', 'russian', 'ukrain']","['presid', 'say', 'ukrainewar', 'russia', 'ukrain']"
2022-03-17,"['war', 'putin', 'russia', 'russian', 'ukrain']","['report', 'compani', 'new', 'russia', 'ukrain']","['presid', 'war', 'russiaukrainewar', 'russia', 'ukrain']"
2022-03-20,"['amp', 'war', 'putin', 'russia', 'ukrain']","['stoprussia', 'kherson', 'lalat', 'stopputin', 'ukrain']","['mariupol', 'the', 'russian', 'russia', 'ukrain']"
2022-03-21,"['lalat', 'kherson', 'show', 'russian', 'ukrain']","['mariupol', 'russian', 'war', 'russia', 'ukrain']","['kyiv', 'war', 'russia', 'standwithukrain', 'ukrain']"
2022-03-25,"['nato', 'presid', 'russian', 'russia', 'ukrain']","['china', 'the', 'russia', 'amp', 'ukrain']","['the', 'war', 'russian', 'russia', 'ukrain']"
2022-03-26,"['the', 'russia', 'peopl', 'standwithukrain', 'ukrain']","['lviv', 'the', 'russia', 'russian', 'ukrain']","['russiaukrainewar', 'war', 'putin', 'russia', 'ukrain']"
