,topic_0,topic_1,topic_2
2022-01-17,"['move', 'europ', 'russia', 'ukrain', 'war']","['russian', 'war', 'nato', 'russia', 'ukrain']","['troop', 'russian', 'nato', 'russia', 'ukrain']"
2022-01-18,"['border', 'russian', 'russia', 'troop', 'ukrain']","['invad', 'nato', 'war', 'russia', 'ukrain']","['putin', 'war', 'nato', 'russia', 'ukrain']"
2022-01-24,"['nato', 'invad', 'war', 'russia', 'ukrain']","['8500', 'alert', 'nato', 'ukrain', 'troop']","['war', 'troop', 'biden', 'border', 'ukrain']"
2022-01-25,"['russian', 'russia', 'nato', 'troop', 'ukrain']","['invad', 'nato', 'war', 'russia', 'ukrain']","['amp', 'troop', 'russian', 'border', 'ukrain']"
2022-02-21,"['order', 'putin', 'ukrain', 'russian', 'troop']","['presid', 'biden', 'putin', 'russia', 'ukrain']","['putin', 'war', 'russia', 'nato', 'ukrain']"
2022-02-22,"['putin', 'russia', 'russian', 'ukrain', 'troop']","['war', 'invad', 'nato', 'russia', 'ukrain']","['standwithukrain', 'trump', 'putin', 'war', 'ukrain']"
2022-02-24,"['ukrainian', 'border', 'troop', 'ukrain', 'russian']","['stand', 'peopl', 'standwithukrain', 'war', 'ukrain']","['war', 'putin', 'nato', 'russia', 'ukrain']"
2022-02-25,"['invad', 'putin', 'russia', 'nato', 'ukrain']","['stand', 'peopl', 'standwithukrain', 'war', 'ukrain']","['ukrainian', 'border', 'troop', 'ukrain', 'russian']"
2022-02-28,"['ukrainian', 'ukrainerussiawar', 'russia', 'russian', 'ukrain']","['peopl', 'amp', 'war', 'putin', 'ukrain']","['nato', 'putin', 'russian', 'ukrain', 'russia']"
2022-03-01,"['amp', 'war', 'putin', 'ukrain', 'russia']","['amp', 'war', 'putin', 'peopl', 'ukrain']","['ukrainerussiawar', 'kyiv', 'russia', 'russian', 'ukrain']"
2022-03-03,"['support', 'amp', 'russia', 'help', 'ukrain']","['kyiv', 'ukrainian', 'russia', 'russian', 'ukrain']","['amp', 'war', 'russia', 'putin', 'ukrain']"
2022-03-04,"['kyiv', 'ukrainian', 'russia', 'russian', 'ukrain']","['russian', 'amp', 'the', 'russia', 'ukrain']","['stop', 'standwithukrain', 'peopl', 'ukrain', 'putin']"
2022-03-05,"['war', 'peopl', 'standwithukrain', 'ukrain', 'putin']","['russianukrainianwar', 'kyiv', 'russia', 'russian', 'ukrain']","['the', 'war', 'amp', 'russia', 'ukrain']"
2022-03-08,"['amp', 'war', 'russia', 'putin', 'ukrain']","['standwithukrain', 'ukrainian', 'russian', 'russia', 'ukrain']","['happi', 'day', 'amp', 'internationalwomensday', 'women']"
2022-03-09,"['hospit', 'mariupol', 'russian', 'russia', 'ukrain']","['russian', 'war', 'ukrain', 'putin', 'russia']","['standwithukrain', 'amp', 'peopl', 'putin', 'ukrain']"
2022-03-10,"['help', 'support', 'amp', 'russia', 'ukrain']","['standwithukrain', 'russia', 'ukrainian', 'russian', 'ukrain']","['amp', 'russia', 'war', 'ukrain', 'putin']"
2022-03-13,"['amp', 'war', 'russia', 'ukrain', 'putin']","['forc', 'russian', 'militari', 'russia', 'ukrain']","['ukrainewar', 'ukrainian', 'standwithukrain', 'russian', 'ukrain']"
2022-03-14,"['peopl', 'ukrainian', 'putin', 'russian', 'ukrain']","['nato', 'war', 'putin', 'ukrain', 'russia']","['call', 'stop', 'putin', 'ukrain', 'standwithukrain']"
2022-03-15,"['ukrainian', 'kyiv', 'russia', 'russian', 'ukrain']","['amp', 'war', 'nato', 'ukrain', 'russia']","['war', 'peopl', 'amp', 'putin', 'ukrain']"
2022-03-16,"['mariupol', 'putin', 'russia', 'russian', 'ukrain']","['help', 'stpatricksday', 'slavaukraini', 'standwithukrain', 'ukrain']","['the', 'war', 'russia', 'putin', 'ukrain']"
2022-03-17,"['day', 'peopl', 'stpatricksday', 'standwithukrain', 'ukrain']","['mariupol', 'ukrainian', 'russia', 'russian', 'ukrain']","['amp', 'war', 'putin', 'russia', 'ukrain']"
2022-03-20,"['nato', 'war', 'russia', 'putin', 'ukrain']","['slavaukraini', 'stop', 'peopl', 'standwithukrain', 'ukrain']","['kyiv', 'mariupol', 'russian', 'russia', 'ukrain']"
2022-03-21,"['war', 'russian', 'mariupol', 'standwithukrain', 'ukrain']","['russia', 'amp', 'war', 'putin', 'ukrain']","['the', 'ukrainerussiawar', 'russian', 'russia', 'ukrain']"
2022-03-25,"['the', 'ukrainewar', 'russian', 'russia', 'ukrain']","['mariupol', 'peopl', 'war', 'standwithukrain', 'ukrain']","['standwithukrain', 'russia', 'amp', 'putin', 'ukrain']"
2022-03-26,"['ukrainewar', 'ukrainian', 'russia', 'russian', 'ukrain']","['standwithukrain', 'amp', 'russia', 'ukrain', 'putin']","['nato', 'presid', 'russia', 'biden', 'ukrain']"
